"SEQ","MOVEDATE","COMPOUNDPOS_FROM","COMPOUNDPOS_TO","UNITNR","LOCATION","SEQ","UNITTYPE","ADDRESS_CLIENT","MOVETYPE"
4122866,2021-02-07 14:40:00,TOUT,,ALLU 376746 2,CTTROT,1861056,"20DV",$PCCGDY,Rotzooi
4117490,2021-02-04 12:24:00,,TIN,AMFU 868802 2,CTTROT,1860797,"40HC",$PCCGDY,Rotzooi
4117534,2021-02-04 12:47:00,TIN,"07.06.3",AMFU 868802 2,CTTROT,1860797,"40HC",$PCCGDY,Gate in train
4117895,2021-02-04 14:52:00,"07.06.3",BIJGEREDEN,AMFU 868802 2,CTTROT,1860797,"40HC",$PCCGDY,InternalMoveLocations
4118204,2021-02-04 16:05:00,BIJGEREDEN,BOUT,AMFU 868802 2,CTTROT,1860797,"40HC",$PCCGDY,Gate out barge
4118207,2021-02-04 16:06:00,BOUT,,AMFU 868802 2,CTTROT,1860797,"40HC",$PCCGDY,Rotzooi
4117651,2021-02-04 13:32:00,,TRUCK,APZU 302191 6,CTTROT,1860851,"20DV",$PCCGDY,Rotzooi
4117685,2021-02-04 13:43:00,TRUCK,"23.02.2",APZU 302191 6,CTTROT,1860851,"20DV",$PCCGDY,Gate in truck
4121146,2021-02-05 17:06:00,"23.02.2",TOUT,APZU 302191 6,CTTROT,1860851,"20DV",$PCCGDY,Gate out train
4121663,2021-02-05 21:28:00,TOUT,,APZU 302191 6,CTTROT,1860851,"20DV",$PCCGDY,Rotzooi
4114842,2021-02-03 09:32:00,,TRUCK,APZU 336642 0,CTTROT,1860113,"20DV",$PCCGDY,Rotzooi
4114905,2021-02-03 09:53:00,TRUCK,"14.01.1",APZU 336642 0,CTTROT,1860113,"20DV",$PCCGDY,Gate in truck
4116197,2021-02-03 18:34:00,"14.01.1",TOUT,APZU 336642 0,CTTROT,1860113,"20DV",$PCCGDY,Gate out train
4116454,2021-02-03 22:34:00,TOUT,,APZU 336642 0,CTTROT,1860113,"20DV",$PCCGDY,Rotzooi
4117683,2021-02-04 13:42:00,,TRUCK,APZU 439458 1,CTTROT,1860860,"40DV",$PCCGDY,Rotzooi
4117700,2021-02-04 13:48:00,TRUCK,"29.02.1",APZU 439458 1,CTTROT,1860860,"40DV",$PCCGDY,Gate in truck
4118427,2021-02-04 17:00:00,"29.02.1",TOUT,APZU 439458 1,CTTROT,1860860,"40DV",$PCCGDY,Gate out train
4119071,2021-02-04 20:38:00,TOUT,,APZU 439458 1,CTTROT,1860860,"40DV",$PCCGDY,Rotzooi
4115264,2021-02-03 12:00:00,,TRUCK,ATRU 250000 9,CTTROT,1860251,"20TK",$PCCGDY,Rotzooi
4115287,2021-02-03 12:09:00,TRUCK,"30.02.2",ATRU 250000 9,CTTROT,1860251,"20TK",$PCCGDY,Gate in truck
4116241,2021-02-03 19:08:00,"30.02.2",TOUT,ATRU 250000 9,CTTROT,1860251,"20TK",$PCCGDY,Gate out train
4116448,2021-02-03 22:34:00,TOUT,,ATRU 250000 9,CTTROT,1860251,"20TK",$PCCGDY,Rotzooi
