NRAXES,MAXTEU,CALLCODE,WAGTYPE,WPOS,WAGON,UNNR,UNKLASSE,UNITWEIGHTNETT,UNITTYPE,UNITSEQUENCE,TRACK,TEUS,TERMINALWEIGHTNETT,TARE,SIZEFT,STARTPOSITION,SEQ,PAYLOAD,MOVETYPE,LOCATION,LEN,CONTAINERTARRA,CONTAINERNUMBER,COMPOUNDPOS,MAXTRAVELDISTANCE,TRAINSPLIT,TRAINREVERSED,MaxTrainWeight Value
,,CTTROT20210323POL,,,,,,24000,45PW,3057871,,2.25,,,,,368022,,lader,CTTROT,,4400,CNEU 458542 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24060,45PW,3057887,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 451528 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24062,45PW,3057879,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 466019 6,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24062,45PW,3057881,,2.25,,,,,368022,,lader,CTTROT,,4400,CNEU 458700 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24062,45PW,3057882,,2.25,,,,,368022,,lader,CTTROT,,4400,CNEU 458654 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24505,45PW,3057873,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 455113 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24505,45PW,3057874,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 456087 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,24740,45PW,3057872,,2.25,,,,,368022,,lader,CTTROT,,4400,EUCU 454046 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,25000,23TK,3057816,,1.15,,,,,368022,,lader,CTTROT,,4800,FOTU 842549 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,25000,24TK,3057825,,1.2,25120,,,,368022,,lader,CTTROT,,4800,LAFU 321957 0,41.01.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,25000,26TK,3057821,,1.3,,,,,368022,,lader,CTTROT,,4800,PCVU 350083 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,25500,30TK,3057831,,1.5,,,,,368022,,lader,CTTROT,,2800,HUKU 311456 7,,57,11,0,1601
,,CTTROT20210323POL,,,,,,25740,30BU,3057832,,1.5,,,,,368022,,lader,CTTROT,,3300,UBBU 226428 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,25740,30BU,3057833,,1.5,,,,,368022,,lader,CTTROT,,3300,UBBU 970052 7,,57,11,0,1601
,,CTTROT20210323POL,,,,,,25800,22TK,3057808,,1.1,,,,,368022,,lader,CTTROT,,4800,ZTKU 730906 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,25880,26TK,3057820,,1.3,,,,,368022,,lader,CTTROT,,4800,ZTKU 735019 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,25940,20DV,3057794,,1,,,,,368022,,lader,CTTROT,,2300,TRLU 383976 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26000,20TK,3057780,,1,25000,,,,368022,,lader,CTTROT,,4000,PCVU 263002 4,12.02.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,26000,20TK,3057781,,1,25000,,,,368022,,lader,CTTROT,,4000,PCVU 260141 1,33.01.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,26000,20TK,3057790,,1,,,,,368022,,lader,CTTROT,,4000,EXFU 080665 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26000,22TK,3057805,,1.1,,,,,368022,,lader,CTTROT,,4800,EXFU 878300 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26000,22TK,3057806,,1.1,,,,,368022,,lader,CTTROT,,4800,ZTKU 730147 5,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26000,24TK,3057826,,1.2,,,,,368022,,lader,CTTROT,,4800,GCAU 781794 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26060,20DV,3057792,,1,,,,,368022,,lader,CTTROT,,2300,TTNU 339896 1,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26100,20DV,3057795,,1,,,,,368022,,lader,CTTROT,,2300,,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26100,20DV,3057796,,1,,,,,368022,,lader,CTTROT,,2300,,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26100,20DV,3057797,,1,,,,,368022,,lader,CTTROT,,2300,,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26460,20DV,3057793,,1,,,,,368022,,lader,CTTROT,,2300,TRLU 376413 9,,57,11,0,1601
,,CTTROT20210323POL,,,,,,26500,20TK,3057782,,1,25030,,,,368022,,lader,CTTROT,,4000,NWBU 082665 4,34.01.1,57,11,0,1601
,,CTTROT20210323POL,,,,,,26500,22TK,3057809,,1.1,,,,,368022,,lader,CTTROT,,4800,DHIU 084200 6,,57,11,0,1601
,,CTTROT20210323POL,,,,,,27000,22TK,3057807,,1.1,,,,,368022,,lader,CTTROT,,4800,PCVU 310087 8,,57,11,0,1601
,,CTTROT20210323POL,,,,,,27000,22TK,3057810,,1.1,,,,,368022,,lader,CTTROT,,4800,DHIU 084203 2,,57,11,0,1601
,,CTTROT20210323POL,,,,,,27000,26TK,3057827,,1.3,,,,,368022,,lader,CTTROT,,4800,BTLU 135024 4,,57,11,0,1601
,,CTTROT20210323POL,,,,,,27000,26TK,3057829,,1.3,,,,,368022,,lader,CTTROT,,4800,BTLU 330334 4,,57,11,0,1601
,,CTTROT20210323POL,,,,,,28000,22TK,3057813,,1.1,,,,,368022,,lader,CTTROT,,4800,PAWU 310002 7,,57,11,0,1601
,,CTTROT20210323POL,,,,,,28000,22TK,3057814,,1.1,,,,,368022,,lader,CTTROT,,4800,PAWU 310015 6,,57,11,0,1601
,,CTTROT20210323POL,,,,,,28000,26TK,3057824,,1.3,,,,,368022,,lader,CTTROT,,4800,KRIU 226034 0,,57,11,0,1601
,,CTTROT20210323POL,,,,,,28340,20DV,3057791,,1,28340,,,,368022,,lader,CTTROT,,2300,FCIU 263451 3,33.01.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,30000,20TK,3057799,,1,29540,,,,368022,,lader,CTTROT,,4000,ABEU 262896 7,09.09.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,30000,20TK,3057800,,1,,,,,368022,,lader,CTTROT,,4000,ABEU 262858 7,,57,11,0,1601
,,CTTROT20210323POL,,,,,,30000,20TK,3057801,,1,29460,,,,368022,,lader,CTTROT,,4000,EKCU 263442 8,34.01.2,57,11,0,1601
,,CTTROT20210323POL,,,,,,30000,24TK,3057822,,1.2,28440,,,,368022,,lader,CTTROT,,4800,EKCU 322151 6,41.01.1,57,11,0,1601
,,CTTROT20210323POL,,,,1750000,6.1,1,20TK,3057890,,1,1,,,,368022,,lader,CTTROT,,4000,TCVU 261499 0,20.13.1,57,11,0,1601
,,CTTROT20210323POL,,,,2078000,6.1,24000,20TK,3057788,,1,23950,,,,368022,,lader,CTTROT,,4000,EXFU 231010 8,20.12.1,57,11,0,1601
,,CTTROT20210323POL,,,,2789000,8,25700,26TK,3057828,,1.3,30550,,,,368022,,lader,CTTROT,,4800,EXFU 667644 0,13.11.2,57,11,0,1601
,,CTTROT20210323POL,,,,2924002,3,25520,20TK,3057786,,1,25520,,,,368022,,lader,CTTROT,,4000,SUTU 249049 0,10.13.1,57,11,0,1601
,,CTTROT20210323POL,,,,3082000,9,1,26TK,3057897,,1.3,27000,,,,368022,,lader,CTTROT,,4800,TANU 351111 2,18.10.3,57,11,0,1601
,,CTTROT20210323POL,,,,3082000,9,26000,22TK,3057804,,1.1,26000,,,,368022,,lader,CTTROT,,4800,ZTKU 730145 4,19.10.3,57,11,0,1601
,,CTTROT20210323POL,,,,3082000,9,26000,26TK,3057819,,1.3,26000,,,,368022,,lader,CTTROT,,4800,PCVU 350103 7,19.10.2,57,11,0,1601
