Partner-Ref;Referenz;Waggon-Nr.;BU;Auftrag;Ladedatum;Container #;Turn-Out;Seeschiff;Ladest.;TEU;Termin;CTyp;Reeder;C-Gross;C-Netto;Cls;VP;Warenbezeichnung;GG-Bez.;ETA;Ladestelle;Entladest.;Zollagent;T1#
AANWEZIG CTT;;;BSL;1210104030;12/02/2021;UACU4058522;1W3ZX1XG25;AFIF;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Hapag Lloyd, Rotterdam;4.021,20;1821.2;11;Paletten;PRINTED CIRCUIT BOARD ASSEMBLY;;27/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DBDA90
AANWEZIG CTT;;;BSL;1210104309;12/02/2021;UACU8213355;1W3KEUDKLF;SOUTHAMPTON EXPRESS;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40DV;Hapag Lloyd, Rotterdam;9.100,00;5100;5;Packstücke;REMOVAL CARGO HARMLESS & 2 FAHRZEUGE (AUTOS);;28/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DBD776
AANWEZIG CTT;;;BSL;1210200824;12/02/2021;MSKU5983540;7079718;MSC ALICANTE;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;Hamburg Süd Benelux B.V., Antwerpen;12.504,80;10304.8;400;Packstücke;ORGANIC AGAVE INSULIN POWDER;;26/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E7D0B0
PRESENT;;;BSL;1201204141;12/02/2021;TRHU3560395;1201204141;;CTT Rotterdam BV, Rotterdam;1;11/02/2021;20DV;;21.328,00;19128;3188;Kartons;RAIMOND FRERES BRAND;;;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;Fremd T1;21NL00051013EBE3E3
PRESENT;;;BSL;1201204481;12/02/2021;GLDU9674479;1201204481;;CTT Rotterdam BV, Rotterdam;1;10/02/2021;20DV;;21.400,00;19200;3200;Kartons;RAIMOND FRERES BRAND;;;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;Fremd T1;21NL00051013EC6168
present;;;BSL;1210100047;12/02/2021;MRSU3771482;1210100047;;CTT Rotterdam BV, Rotterdam;2;13/02/2021;40HC;;11.296,00;7296;1280;Kartons;Mehlwürmer;;;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;Fremd T1;21NL00051013E185D1
PRESENT;;;BSL;1210100790;12/02/2021;MSKU8474491;947517;MARIBO MAERSK;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Maersk, Rotterdam;26.610,30;22610.3;837;Kartons;Kerzen;;29/01/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013DAE048
PRESENT;;;BSL;1210200407;12/02/2021;BIDU4903457;.;;CTT Rotterdam BV, Rotterdam;1;11/02/2021;20TK;;29.340,00;26000;1;Packstück;ISOCYANATE;;;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;;
PS EXTRA TREIN;;;BSL;1201204251;12/02/2021;HLXU8157786;1T3PWX9ZEL;ONE AQUILA;CTT Rotterdam BV, Rotterdam;2;16/02/2021;40HC;Hapag Lloyd, Rotterdam;11.155,00;7155;345;Packstücke;Möbel;;01/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E2EE58
PS EXTRA TREIN;;;BSL;1201204290;12/02/2021;FFAU1387751;FP18938118;ONE HARBOUR;CTT Rotterdam BV, Rotterdam;2;10/02/2021;40HC;Yang Ming, Hamburg;13.612,10;9612.1;472;Kartons;Printer, Copier, Fax;;06/02/2021;CTT Rotterdam BV, Rotterdam;UBF Basel, Weil am Rhein;KGH Customs Service, Barendrecht;21NL00051013E51BC4
